Book Name,Author,Rating,URL
Hanuman Chalisa: हनुमान चालीसा – Hanuman Chalisa Pocket Size Book (Hindi & English) – Hanuman Aarti with 108 Names | Goddess of India | Divine Gift for Wisdom,Goswami Tulsidas,4.7 out of 5 stars,https://www.amazon.in/Hanuman-Chalisa-Pocket-Hindi-English/dp/9353768950/ref=zg_bs_g_1318188031_d_sccl_24/000-0000000-0000000?psc=1
You Can Heal Your Life,Louise Hay,4.6 out of 5 stars,https://www.amazon.in/You-Can-Heal-Your-Life/dp/8190565583/ref=zg_bs_g_1318188031_d_sccl_25/000-0000000-0000000?psc=1
Focus on What Matters,Darius Foroux,4.5 out of 5 stars,https://www.amazon.in/Focus-What-Matters-Darius-Foroux/dp/0143461842/ref=zg_bs_g_1318188031_d_sccl_26/000-0000000-0000000?psc=1
Mahagatha: 100 Tales from the Puranas,Satyarth Nayak,4.7 out of 5 stars,https://www.amazon.in/Mahagatha-Tales-Puranas-Satyarth-Nayak/dp/9356294496/ref=zg_bs_g_1318188031_d_sccl_27/000-0000000-0000000?psc=1
Relaxing Mandala Coloring Book For Adults,Wonder House Books,4.4 out of 5 stars,https://www.amazon.in/Relaxing-Mandala-Coloring-Book-Adults/dp/9354404863/ref=zg_bs_g_1318188031_d_sccl_28/000-0000000-0000000?psc=1
Autobiography of a Yogi,Paramahansa Yogananda,4.6 out of 5 stars,https://www.amazon.in/Autobiography-of-a-Yogi/dp/B079P54C5J/ref=zg_bs_g_1318188031_d_sccl_29/000-0000000-0000000?psc=1
Autobiography of A Yogi-Kannada,Paramahansa Yogananda,4.7 out of 5 stars,https://www.amazon.in/Autobiography-Kannada-Parama-Hamsa-Yogaananda/dp/8190256246/ref=zg_bs_g_1318188031_d_sccl_30/000-0000000-0000000?psc=1
THE CONCISE 48 LAWS OF POWER,Robert Greene,4.4 out of 5 stars,https://www.amazon.in/CONCISE-48-LAWS-POWER/dp/1861974043/ref=zg_bs_g_1318188031_d_sccl_1/000-0000000-0000000?psc=1
Meditations by Marcus Aurelius (Deluxe Hardbound Edition),Marcus Aurelius,4.5 out of 5 stars,https://www.amazon.in/Meditations-Deluxe-Hardbound-Marcus-Aurelius/dp/9354407269/ref=zg_bs_g_1318188031_d_sccl_2/000-0000000-0000000?psc=1
The Legend of the Goddess: Invoking Sri Suktam,Om Swami,4.8 out of 5 stars,https://www.amazon.in/Legend-Goddess-Invoking-Sri-Suktam/dp/8119792971/ref=zg_bs_g_1318188031_d_sccl_3/000-0000000-0000000?psc=1
"The Original Rider Waite Tarot Pack [Cards] Waite, A.E. and Colman Smith, Pamela [Cards] Waite, A.E. and Colman Smith, Pamela",A.E. Waite,4.5 out of 5 stars,https://www.amazon.in/Original-Rider-Waite-Tarot-Pack/dp/0712670572/ref=zg_bs_g_1318188031_d_sccl_4/000-0000000-0000000?psc=1
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,https://www.amazon.in/Lifes-Amazing-Secrets-find-Bala/dp/0143442295/ref=zg_bs_g_1318188031_d_sccl_5/000-0000000-0000000?psc=1
The Things You Can See Only When You Slow Down: How to be Calm in a Busy World |Over 3 million copies sold,Haemin Sunim,4.6 out of 5 stars,https://www.amazon.in/Things-Only-When-Slow-Down/dp/0241340667/ref=zg_bs_g_1318188031_d_sccl_6/000-0000000-0000000?psc=1
Salman Rushdie the Believer: A Satanic Journey Mirroring Belief,Maha Meraay,NA,https://www.amazon.in/Salman-Rushdie-Believer-Satanic-Mirroring/dp/1450271707/ref=zg_bs_g_1318188031_d_sccl_7/000-0000000-0000000?psc=1
Autobiography Of A Yogi (Complete Original Edition),Paramahansa Yogananda,4.6 out of 5 stars,https://www.amazon.in/Autobiography-Yogi-Paramahansa-Yogananda/dp/8172345364/ref=zg_bs_g_1318188031_d_sccl_8/000-0000000-0000000?psc=1
Dashavatar,KAMALA CHANDRAKANT,4.6 out of 5 stars,https://www.amazon.in/Dashavatar-KAMALA-CHANDRAKANT-ebook/dp/B06Y697TL7/ref=zg_bs_g_1318188031_d_sccl_9/000-0000000-0000000?psc=1
Our Daily Bread Annual Edition - 2025,Our Daily Bread,4.7 out of 5 stars,https://www.amazon.in/Our-Daily-Bread-Annual-2025/dp/9391634737/ref=zg_bs_g_1318188031_d_sccl_10/000-0000000-0000000?psc=1
